From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Combined,Points
Latvia,Switzerland,20,17,19,15,22,20,9,15,0
Latvia,Hungary,9,14,14,19,8,14,8,10,1
Latvia,Malta,11,16,3,6,14,8,22,16,0
Latvia,Denmark,14,13,5,14,19,15,16,17,0
Latvia,The Netherlands,1,3,1,2,1,1,2,1,12
Latvia,San Marino,24,24,24,23,25,25,13,21,0
Latvia,United Kingdom,12,9,8,18,17,13,18,18,0
Lithuania,Ukraine,21,16,11,9,12,15,2,6,5
Lithuania,Belarus,12,18,22,5,22,17,3,8,3
Lithuania,Azerbaijan,23,9,9,8,8,9,17,12,0
Lithuania,Iceland,5,10,4,11,6,5,19,11,0
Lithuania,Norway,11,2,2,2,1,3,7,3,8
Lithuania,Romania,24,22,26,18,25,25,21,25,0
Lithuania,Armenia,14,14,19,26,18,20,8,16,0
Lithuania,Montenegro,20,20,14,12,24,19,26,24,0
Lithuania,Poland,25,26,23,21,20,24,4,15,0
Lithuania,Greece,22,25,25,22,23,26,14,21,0
Lithuania,Austria,1,1,3,3,7,1,5,2,10
Lithuania,Germany,19,19,10,19,10,16,12,17,0
Lithuania,Sweden,4,4,12,10,5,4,9,4,7
Lithuania,France,26,24,8,24,26,23,23,26,0
Lithuania,Russia,7,5,20,13,13,10,6,5,6
Lithuania,Italy,17,23,21,14,21,21,24,23,0
Lithuania,Slovenia,13,6,18,7,15,11,22,19,0
Lithuania,Finland,6,11,5,16,4,7,20,14,0
Lithuania,Spain,16,3,15,1,11,8,11,7,4
Lithuania,Switzerland,10,12,6,15,17,12,10,9,2
Lithuania,Hungary,3,13,13,25,14,14,13,13,0
Lithuania,Malta,15,17,17,17,16,18,25,22,0
Lithuania,Denmark,8,7,16,6,3,6,18,10,1
Lithuania,The Netherlands,2,8,1,4,2,2,1,1,12
Lithuania,San Marino,18,15,24,23,19,22,15,20,0
Lithuania,United Kingdom,9,21,7,20,9,13,16,18,0
Malta,Ukraine,10,13,14,24,18,19,18,21,0
Malta,Belarus,4,11,18,3,2,4,16,11,0
Malta,Azerbaijan,6,21,2,7,5,5,24,16,0
Malta,Iceland,22,20,22,21,25,25,22,24,0
Malta,Norway,9,8,17,15,10,11,8,9,2
Malta,Romania,2,3,1,5,9,3,7,3,8
Malta,Armenia,1,2,3,6,3,1,15,5,6
Malta,Montenegro,7,6,4,16,8,6,25,17,0
Malta,Poland,15,9,6,25,21,18,9,14,0
Malta,Greece,3,10,5,20,11,8,11,10,1
Malta,Austria,14,4,13,11,16,9,1,2,10
Malta,Germany,20,24,19,17,17,21,20,23,0
Malta,Sweden,21,5,12,14,7,10,3,4,7
Malta,France,23,19,24,18,22,24,23,25,0
Malta,Russia,8,7,21,1,6,7,10,6,5
Malta,Italy,5,1,7,2,4,2,2,1,12
Malta,Slovenia,19,12,16,4,12,12,21,18,0
Malta,Finland,25,18,23,19,19,23,14,20,0
Malta,Spain,13,14,8,23,13,14,12,12,0
Malta,Switzerland,24,22,11,12,1,13,6,8,3
Malta,Hungary,16,15,20,22,15,20,19,22,0
Malta,Denmark,17,16,15,10,14,16,13,15,0
Malta,The Netherlands,18,23,25,13,24,22,5,13,0
Malta,San Marino,11,25,9,8,20,17,17,19,0
Malta,United Kingdom,12,17,10,9,23,15,4,7,4
Moldova,Ukraine,4,4,3,4,5,3,3,2,10
Moldova,Belarus,12,14,8,12,6,8,7,6,5
Moldova,Azerbaijan,7,5,9,7,9,7,18,13,0
Moldova,Iceland,24,23,26,19,24,26,25,26,0
Moldova,Norway,21,18,14,24,15,20,15,19,0
Moldova,Romania,1,1,1,1,1,1,1,1,12
Moldova,Armenia,9,21,11,25,10,15,5,8,3
Moldova,Montenegro,25,13,24,16,16,21,26,24,0
Moldova,Poland,10,22,17,18,4,12,8,9,2
Moldova,Greece,11,25,23,11,11,16,14,16,0
Moldova,Austria,3,9,4,2,3,4,4,4,7
Moldova,Germany,13,7,6,14,17,9,20,15,0
Moldova,Sweden,2,3,2,3,7,2,6,5,6
Moldova,France,14,26,25,26,18,25,23,25,0
Moldova,Russia,5,6,5,8,8,6,2,3,8
Moldova,Italy,20,24,20,23,19,24,19,21,0
Moldova,Slovenia,19,17,21,20,20,22,21,22,0
Moldova,Finland,26,16,22,21,13,23,22,23,0
Moldova,Spain,16,15,7,6,25,10,16,14,0
Moldova,Switzerland,15,8,10,13,26,13,10,11,0
Moldova,Hungary,6,2,12,5,2,5,12,7,4
Moldova,Malta,17,19,13,17,23,18,24,20,0
Moldova,Denmark,22,10,15,15,21,17,17,18,0
Moldova,The Netherlands,18,20,16,10,12,14,11,12,0
Moldova,San Marino,8,12,18,9,22,11,9,10,1
Moldova,United Kingdom,23,11,19,22,14,19,13,17,0
Montenegro,Ukraine,9,9,8,7,7,8,8,4,7
Montenegro,Belarus,8,8,9,10,9,9,13,10,1
Montenegro,Azerbaijan,19,18,19,17,19,19,15,19,0
Montenegro,Iceland,16,16,16,14,15,15,21,20,0
Montenegro,Norway,23,24,25,22,22,25,19,24,0
Montenegro,Romania,20,20,21,25,25,22,3,14,0
Montenegro,Armenia,1,1,1,1,2,1,10,2,10
Montenegro,Poland,6,7,7,8,8,7,11,7,4
Montenegro,Greece,10,10,10,9,10,10,16,15,0
Montenegro,Austria,18,19,18,19,17,17,5,9,2
Montenegro,Germany,4,3,2,2,1,2,20,11,0
Montenegro,Sweden,15,17,15,16,16,16,4,8,3
Montenegro,France,11,11,11,11,11,11,22,18,0
Montenegro,Russia,25,23,17,24,24,23,1,12,0
Montenegro,Italy,5,5,5,5,5,5,12,5,6
Montenegro,Slovenia,14,14,13,12,13,13,2,3,8
Montenegro,Finland,21,25,22,20,21,21,24,25,0
Montenegro,Spain,22,21,20,21,20,20,17,21,0
Montenegro,Switzerland,13,13,12,13,12,12,6,6,5
Montenegro,Hungary,2,2,3,3,3,3,7,1,12
Montenegro,Malta,3,4,4,4,4,4,25,17,0
Montenegro,Denmark,12,12,14,15,14,14,23,22,0
Montenegro,The Netherlands,17,15,24,18,18,18,9,16,0
Montenegro,San Marino,7,6,6,6,6,6,18,13,0
Montenegro,United Kingdom,24,22,23,23,23,24,14,23,0
Norway,Ukraine,9,21,15,17,15,16,13,15,0
Norway,Belarus,19,23,23,21,24,23,14,20,0
Norway,Azerbaijan,14,5,18,15,12,13,25,22,0
Norway,Iceland,7,13,22,6,8,11,6,5,6
Norway,Romania,20,4,11,11,2,10,8,7,4
Norway,Armenia,21,15,25,20,22,21,15,18,0
Norway,Montenegro,8,9,8,16,20,12,24,19,0
Norway,Poland,11,20,12,23,17,19,1,9,2
Norway,Greece,5,12,2,10,4,6,17,12,0
Norway,Austria,16,1,1,7,7,4,2,2,10
Norway,Germany,18,16,13,14,16,17,16,17,0
Norway,Sweden,6,2,4,4,5,2,4,3,8
Norway,France,15,19,9,24,14,18,20,21,0
Norway,Russia,24,24,17,22,23,24,19,23,0
Norway,Italy,25,22,21,19,21,22,23,24,0
Norway,Slovenia,2,7,10,13,10,7,21,13,0
Norway,Finland,3,14,7,5,1,3,7,4,7
Norway,Spain,10,3,5,3,11,5,12,6,5
Norway,Switzerland,22,17,20,25,18,20,9,14,0
Norway,Hungary,12,8,14,12,19,14,18,16,0
Norway,Malta,13,6,16,1,9,9,11,11,0
Norway,Denmark,17,18,24,8,6,15,5,10,1
Norway,The Netherlands,1,11,3,2,3,1,3,1,12
Norway,San Marino,23,25,19,18,25,25,22,25,0
Norway,United Kingdom,4,10,6,9,13,8,10,8,3
Poland,Ukraine,9,14,18,17,17,16,3,6,5
Poland,Belarus,17,13,13,20,18,18,8,14,0
Poland,Azerbaijan,8,15,21,7,7,10,23,19,0
Poland,Iceland,15,23,3,12,15,12,18,15,0
Poland,Norway,7,6,5,13,4,5,12,4,7
Poland,Romania,25,24,14,19,21,22,17,23,0
Poland,Armenia,18,11,23,10,12,15,7,10,1
Poland,Montenegro,19,21,19,16,23,21,25,24,0
Poland,Greece,6,25,25,25,25,23,9,17,0
Poland,Austria,24,18,7,18,16,19,4,11,0
Poland,Germany,5,8,17,5,5,7,5,3,8
Poland,Sweden,10,16,22,11,13,13,6,7,4
Poland,France,16,17,6,14,11,11,20,16,0
Poland,Russia,20,19,11,23,20,20,14,20,0
Poland,Italy,21,20,20,24,24,24,24,25,0
Poland,Slovenia,23,10,10,15,22,17,15,18,0
Poland,Finland,4,3,4,8,8,3,16,8,3
Poland,Spain,14,7,16,6,6,9,11,9,2
Poland,Switzerland,2,5,9,9,2,4,1,2,10
Poland,Hungary,13,4,8,4,10,6,19,13,0
Poland,Malta,3,2,2,2,3,2,22,12,0
Poland,Denmark,12,9,12,3,9,8,10,5,6
Poland,The Netherlands,1,1,1,1,1,1,2,1,12
Poland,San Marino,22,22,24,22,19,25,13,22,0
Poland,United Kingdom,11,12,15,21,14,14,21,21,0
Portugal,Ukraine,19,21,15,18,19,20,4,12,0
Portugal,Belarus,17,12,18,13,23,16,23,23,0
Portugal,Azerbaijan,13,1,7,9,6,7,26,17,0
Portugal,Iceland,20,11,21,16,21,19,22,24,0
Portugal,Norway,18,7,3,10,4,8,13,8,3
Portugal,Romania,21,24,17,23,20,22,2,10,1
Portugal,Armenia,8,5,10,2,7,5,14,7,4
Portugal,Montenegro,14,13,12,8,3,10,18,14,0
Portugal,Poland,24,23,25,17,26,23,16,22,0
Portugal,Greece,23,25,19,26,25,24,19,25,0
Portugal,Austria,9,4,20,1,1,6,1,1,12
Portugal,Germany,12,14,8,7,10,11,20,15,0
Portugal,Sweden,1,10,6,6,5,3,6,3,8
Portugal,France,26,22,24,25,24,26,24,26,0
Portugal,Russia,6,18,16,19,16,15,7,9,2
Portugal,Italy,25,9,13,21,17,18,17,20,0
Portugal,Slovenia,11,15,14,12,9,12,25,21,0
Portugal,Finland,15,20,23,15,12,17,15,16,0
Portugal,Spain,16,19,22,20,15,21,3,11,0
Portugal,Switzerland,4,6,4,5,11,4,8,4,7
Portugal,Hungary,3,3,2,3,2,1,12,5,6
Portugal,Malta,7,16,11,11,18,13,21,18,0
Portugal,Denmark,5,8,9,14,13,9,9,6,5
Portugal,The Netherlands,2,2,1,4,8,2,5,2,10
Portugal,San Marino,22,26,26,24,22,25,10,19,0
Portugal,United Kingdom,10,17,5,22,14,14,11,13,0
Romania,Ukraine,11,13,13,13,8,14,10,11,0
Romania,Belarus,10,10,14,6,9,10,15,13,0
Romania,Azerbaijan,17,19,11,19,16,18,25,22,0
Romania,Iceland,7,25,23,25,22,21,23,24,0
Romania,Norway,23,9,3,7,5,9,9,10,1
Romania,Armenia,20,5,10,3,4,6,4,4,7
Romania,Montenegro,19,11,18,21,20,19,22,21,0
Romania,Poland,22,23,19,23,23,23,21,23,0
Romania,Greece,8,22,20,20,24,20,5,12,0
Romania,Austria,14,7,9,5,7,7,2,3,8
Romania,Germany,5,6,1,15,6,3,11,9,2
Romania,Sweden,16,1,4,4,2,2,6,1,12
Romania,France,25,24,22,24,21,25,24,25,0
Romania,Russia,24,21,25,16,25,24,16,20,0
Romania,Italy,6,16,21,14,13,15,19,17,0
Romania,Slovenia,4,15,12,9,15,13,13,14,0
Romania,Finland,9,12,7,12,12,12,18,16,0
Romania,Spain,15,3,8,2,14,5,8,6,5
Romania,Switzerland,1,18,2,8,11,4,7,5,6
Romania,Hungary,13,4,15,11,1,8,1,2,10
Romania,Malta,12,14,16,17,19,17,20,18,0
Romania,Denmark,3,2,5,1,3,1,12,7,4
Romania,The Netherlands,18,8,6,10,10,11,3,8,3
Romania,San Marino,21,20,24,22,18,22,17,19,0
Romania,United Kingdom,2,17,17,18,17,16,14,15,0
Russia,Ukraine,9,5,7,8,2,6,4,4,7
Russia,Belarus,2,1,3,2,1,1,2,1,12
Russia,Azerbaijan,1,7,1,1,3,2,5,2,10
Russia,Iceland,13,17,16,16,18,13,11,10,1
Russia,Norway,10,18,12,3,12,10,15,11,0
Russia,Romania,19,19,24,18,20,22,21,23,0
Russia,Armenia,6,9,10,10,5,8,1,3,8
Russia,Montenegro,24,11,19,12,16,15,20,19,0
Russia,Poland,16,25,23,19,19,24,13,20,0
Russia,Greece,3,2,6,5,7,3,12,7,4
Russia,Austria,7,10,9,21,9,11,3,6,5
Russia,Germany,21,12,20,25,23,23,14,21,0
Russia,Sweden,14,24,11,22,13,17,6,9,2
Russia,France,18,21,22,13,24,21,23,24,0
Russia,Italy,23,22,25,20,25,25,25,25,0
Russia,Slovenia,15,14,18,14,22,16,17,17,0
Russia,Finland,22,20,14,11,14,14,16,16,0
Russia,Spain,17,23,21,15,17,19,18,22,0
Russia,Switzerland,20,15,17,24,21,20,7,12,0
Russia,Hungary,4,4,5,6,8,5,8,5,6
Russia,Malta,5,3,4,7,4,4,24,15,0
Russia,Denmark,11,16,2,17,10,12,22,18,0
Russia,The Netherlands,8,6,8,9,6,7,10,8,3
Russia,San Marino,25,13,15,23,11,18,9,13,0
Russia,United Kingdom,12,8,13,4,15,9,19,14,0
San Marino,Ukraine,10,20,16,14,4,13,0,13,0
San Marino,Belarus,21,21,10,21,25,22,0,22,0
San Marino,Azerbaijan,3,3,1,7,3,1,0,1,12
San Marino,Iceland,2,6,9,5,2,3,0,3,8
San Marino,Norway,19,14,8,13,7,12,0,12,0
San Marino,Romania,24,25,23,24,23,25,0,25,0
San Marino,Armenia,9,1,15,4,1,5,0,5,6
San Marino,Montenegro,8,13,19,18,18,18,0,18,0
San Marino,Poland,25,23,24,25,6,23,0,23,0
San Marino,Greece,23,16,25,23,9,21,0,21,0
San Marino,Austria,5,22,13,3,24,14,0,14,0
San Marino,Germany,12,5,14,9,20,11,0,11,0
San Marino,Sweden,1,4,6,1,10,2,0,2,10
San Marino,France,11,15,21,20,15,19,0,19,0
San Marino,Russia,22,24,20,22,22,24,0,24,0
San Marino,Italy,20,10,17,17,12,17,0,17,0
San Marino,Slovenia,15,18,22,19,17,20,0,20,0
San Marino,Finland,17,17,5,8,5,8,0,8,3
San Marino,Spain,18,12,12,16,16,16,0,16,0
San Marino,Switzerland,16,9,18,11,19,15,0,15,0
San Marino,Hungary,6,2,7,6,8,4,0,4,7
San Marino,Malta,14,11,2,10,11,7,0,7,4
San Marino,Denmark,4,19,3,12,21,10,0,10,1
San Marino,The Netherlands,13,7,4,15,13,9,0,9,2
San Marino,United Kingdom,7,8,11,2,14,6,0,6,5
Slovenia,Ukraine,12,22,15,14,9,14,19,20,0
Slovenia,Belarus,10,14,13,19,20,17,12,14,0
Slovenia,Azerbaijan,11,2,3,3,18,5,25,16,0
Slovenia,Iceland,3,6,6,4,4,2,24,12,0
Slovenia,Norway,18,5,2,5,5,4,13,6,5
Slovenia,Romania,21,17,12,24,25,23,8,17,0
Slovenia,Armenia,24,12,21,16,24,22,20,24,0
Slovenia,Montenegro,23,3,10,17,10,12,3,4,7
Slovenia,Poland,9,7,4,15,19,10,14,10,1
Slovenia,Greece,8,25,23,25,23,24,10,21,0
Slovenia,Austria,1,1,1,1,1,1,1,1,12
Slovenia,Germany,6,11,8,11,2,6,16,9,2
Slovenia,Sweden,13,15,9,9,6,9,5,3,8
Slovenia,France,5,23,14,21,8,13,23,22,0
Slovenia,Russia,20,13,20,10,22,18,15,18,0
Slovenia,Italy,14,24,19,18,11,19,6,11,0
Slovenia,Finland,22,10,16,13,13,15,18,19,0
Slovenia,Spain,4,19,11,12,3,7,11,7,4
Slovenia,Switzerland,19,8,22,6,21,16,4,8,3
Slovenia,Hungary,17,20,24,20,14,21,9,15,0
Slovenia,Malta,16,9,7,8,15,11,17,13,0
Slovenia,Denmark,2,16,18,7,7,8,7,5,6
Slovenia,The Netherlands,7,4,5,2,12,3,2,2,10
Slovenia,San Marino,25,21,25,22,16,25,22,25,0
Slovenia,United Kingdom,15,18,17,23,17,20,21,23,0
Spain,Ukraine,11,11,10,7,2,5,8,5,6
Spain,Belarus,16,24,23,20,18,24,22,25,0
Spain,Azerbaijan,21,19,16,23,10,19,24,23,0
Spain,Iceland,10,5,11,15,7,9,11,10,1
Spain,Norway,4,4,3,21,11,7,19,13,0
Spain,Romania,7,13,9,1,16,8,1,3,8
Spain,Armenia,12,10,14,17,12,13,4,7,4
Spain,Montenegro,6,15,6,8,17,11,23,18,0
Spain,Poland,15,12,15,24,9,15,6,11,0
Spain,Greece,17,14,13,22,20,17,13,14,0
Spain,Austria,3,1,2,5,6,2,2,1,12
Spain,Germany,14,22,18,16,22,21,18,21,0
Spain,Sweden,1,2,1,2,1,1,5,2,10
Spain,France,25,3,25,19,15,18,14,16,0
Spain,Russia,22,21,17,18,23,23,10,17,0
Spain,Italy,24,23,19,6,19,20,16,19,0
Spain,Slovenia,20,18,21,9,3,14,25,22,0
Spain,Finland,19,17,20,13,13,16,20,20,0
Spain,Switzerland,18,20,22,14,24,22,9,15,0
Spain,Hungary,5,9,12,10,4,4,15,9,2
Spain,Malta,13,6,4,11,8,6,17,12,0
Spain,Denmark,8,7,5,12,21,12,7,8,3
Spain,The Netherlands,9,16,7,4,14,10,3,4,7
Spain,San Marino,23,25,24,25,25,25,21,24,0
Spain,United Kingdom,2,8,8,3,5,3,12,6,5
Sweden,Ukraine,11,16,11,18,17,13,11,12,0
Sweden,Belarus,16,19,21,21,18,22,22,23,0
Sweden,Azerbaijan,24,10,17,20,16,20,25,24,0
Sweden,Iceland,6,6,13,6,15,8,7,7,4
Sweden,Norway,17,8,5,2,6,5,10,8,3
Sweden,Romania,18,12,24,12,14,16,12,14,0
Sweden,Armenia,20,9,9,10,5,9,6,6,5
Sweden,Montenegro,14,13,18,23,22,21,21,20,0
Sweden,Poland,4,25,22,22,7,17,3,9,2
Sweden,Greece,9,23,16,14,11,12,13,13,0
Sweden,Austria,2,2,2,4,1,1,1,1,12
Sweden,Germany,3,20,12,7,13,10,19,16,0
Sweden,France,7,5,8,17,8,7,14,10,1
Sweden,Russia,13,7,19,15,24,14,16,17,0
Sweden,Italy,15,24,7,19,21,19,24,21,0
Sweden,Slovenia,10,18,23,25,19,23,23,25,0
Sweden,Finland,12,17,3,3,10,6,5,5,6
Sweden,Spain,19,14,15,13,23,18,18,18,0
Sweden,Switzerland,21,21,20,24,25,25,15,19,0
Sweden,Hungary,1,3,1,5,3,2,8,4,7
Sweden,Malta,25,11,14,16,12,15,9,11,0
Sweden,Denmark,8,4,10,8,2,4,4,3,8
Sweden,The Netherlands,5,1,4,1,4,3,2,2,10
Sweden,San Marino,23,22,25,11,20,24,20,22,0
Sweden,United Kingdom,22,15,6,9,9,11,17,15,0
Switzerland,Ukraine,25,20,17,13,12,20,21,22,0
Switzerland,Belarus,23,21,20,20,17,23,22,23,0
Switzerland,Azerbaijan,24,17,21,8,19,22,25,24,0
Switzerland,Iceland,12,12,22,22,13,17,17,17,0
Switzerland,Norway,10,10,2,2,3,4,12,6,5
Switzerland,Romania,11,19,18,16,14,15,13,15,0
Switzerland,Armenia,15,9,14,9,11,11,10,12,0
Switzerland,Montenegro,18,18,19,15,18,21,16,20,0
Switzerland,Poland,16,25,9,25,9,18,7,14,0
Switzerland,Greece,13,22,25,24,25,24,9,16,0
Switzerland,Austria,6,1,8,1,1,1,1,1,12
Switzerland,Germany,17,5,12,12,8,9,4,4,7
Switzerland,Sweden,1,6,7,19,20,8,6,5,6
Switzerland,France,3,15,23,23,10,13,23,19,0
Switzerland,Russia,14,24,16,10,21,19,18,21,0
Switzerland,Italy,21,14,4,14,22,14,5,9,2
Switzerland,Slovenia,22,16,13,5,23,16,20,18,0
Switzerland,Finland,4,4,3,4,4,2,15,7,4
Switzerland,Spain,19,3,6,11,15,10,3,3,8
Switzerland,Hungary,5,13,10,18,16,12,8,10,1
Switzerland,Malta,7,8,15,6,7,6,14,11,0
Switzerland,Denmark,9,11,11,7,5,7,11,8,3
Switzerland,The Netherlands,8,2,5,3,2,3,2,2,10
Switzerland,San Marino,20,23,24,21,24,25,24,25,0
Switzerland,United Kingdom,2,7,1,17,6,5,19,13,0
The Netherlands,Ukraine,10,12,12,14,17,13,15,14,0
The Netherlands,Belarus,25,20,16,19,24,20,18,21,0
The Netherlands,Azerbaijan,11,4,8,10,11,9,20,15,0
The Netherlands,Iceland,7,8,2,4,10,5,6,5,6
The Netherlands,Norway,3,1,3,5,1,2,4,2,10
The Netherlands,Romania,9,24,20,7,16,16,16,17,0
The Netherlands,Armenia,4,9,10,8,5,7,3,4,7
The Netherlands,Montenegro,1,13,9,3,4,4,22,12,0
The Netherlands,Poland,24,25,22,25,25,25,2,13,0
The Netherlands,Greece,22,23,23,22,23,24,11,19,0
The Netherlands,Austria,5,3,1,1,2,1,1,1,12
The Netherlands,Germany,19,17,18,16,18,18,17,20,0
The Netherlands,Sweden,2,6,4,2,7,3,5,3,8
The Netherlands,France,18,19,24,24,21,22,23,24,0
The Netherlands,Russia,17,16,15,20,13,17,14,16,0
The Netherlands,Italy,20,22,25,23,22,23,25,25,0
The Netherlands,Slovenia,21,18,17,18,15,19,24,23,0
The Netherlands,Finland,6,5,6,9,12,8,13,9,2
The Netherlands,Spain,16,15,11,6,9,12,12,11,0
The Netherlands,Switzerland,8,14,14,11,8,11,8,8,3
The Netherlands,Hungary,12,10,7,12,6,10,7,7,4
The Netherlands,Malta,13,2,5,13,3,6,10,6,5
The Netherlands,Denmark,14,7,13,17,19,14,9,10,1
The Netherlands,San Marino,23,21,21,21,20,21,21,22,0
The Netherlands,United Kingdom,15,11,19,15,14,15,19,18,0
Ukraine,Belarus,3,8,10,3,3,5,4,5,6
Ukraine,Azerbaijan,9,9,17,9,10,9,10,10,1
Ukraine,Iceland,25,22,22,24,24,25,16,21,0
Ukraine,Norway,23,15,25,23,23,23,13,19,0
Ukraine,Romania,12,11,21,13,12,13,19,15,0
Ukraine,Armenia,8,2,4,8,8,6,2,2,10
Ukraine,Montenegro,22,20,23,20,17,21,23,24,0
Ukraine,Poland,6,21,11,6,7,8,1,4,7
Ukraine,Greece,7,13,16,7,6,7,15,11,0
Ukraine,Austria,5,3,3,5,5,3,5,3,8
Ukraine,Germany,1,4,2,1,1,2,9,6,5
Ukraine,Sweden,2,1,1,2,2,1,6,1,12
Ukraine,France,13,24,19,19,16,20,22,22,0
Ukraine,Russia,10,14,9,10,11,10,3,7,4
Ukraine,Italy,24,25,13,25,25,24,25,25,0
Ukraine,Slovenia,14,18,14,14,14,14,18,14,0
Ukraine,Finland,20,10,6,11,9,12,20,16,0
Ukraine,Spain,4,5,8,4,4,4,14,9,2
Ukraine,Switzerland,16,16,15,16,19,18,8,12,0
Ukraine,Hungary,11,7,7,12,18,11,7,8,3
Ukraine,Malta,17,19,18,17,13,19,24,23,0
Ukraine,Denmark,15,12,20,18,15,16,21,20,0
Ukraine,The Netherlands,21,17,5,15,21,15,12,13,0
Ukraine,San Marino,19,23,24,21,20,22,11,17,0
Ukraine,United Kingdom,18,6,12,22,22,17,17,18,0
United Kingdom,Ukraine,22,16,20,18,7,18,12,16,0
United Kingdom,Belarus,17,7,17,25,19,19,19,21,0
United Kingdom,Azerbaijan,5,4,25,13,6,8,24,18,0
United Kingdom,Iceland,8,14,22,14,13,15,4,7,4
United Kingdom,Norway,7,22,19,11,5,11,17,13,0
United Kingdom,Romania,19,11,18,20,22,22,9,17,0
United Kingdom,Armenia,20,24,23,16,18,24,16,23,0
United Kingdom,Montenegro,16,10,15,23,24,21,25,25,0
United Kingdom,Poland,25,25,24,24,25,25,1,11,0
United Kingdom,Greece,13,18,8,6,23,14,7,9,2
United Kingdom,Austria,1,8,9,2,4,3,3,1,12
United Kingdom,Germany,18,21,16,9,8,16,20,19,0
United Kingdom,Sweden,6,12,10,3,1,5,8,4,7
United Kingdom,France,24,23,12,17,21,23,15,20,0
United Kingdom,Russia,14,9,6,19,14,10,18,14,0
United Kingdom,Italy,23,19,7,12,15,17,22,22,0
United Kingdom,Slovenia,4,6,4,8,16,6,23,15,0
United Kingdom,Finland,2,13,3,1,3,2,11,5,6
United Kingdom,Spain,12,3,1,5,10,4,10,6,5
United Kingdom,Switzerland,11,17,11,7,12,9,13,10,1
United Kingdom,Hungary,15,15,13,10,11,12,14,12,0
United Kingdom,Malta,3,2,2,4,9,1,5,2,10
United Kingdom,Denmark,10,5,14,21,17,13,6,8,3
United Kingdom,The Netherlands,9,1,5,15,20,7,2,3,8
United Kingdom,San Marino,21,20,21,22,2,20,21,24,0
